"temps_mois","evenement_naissance","poids_sondage","milieu_residence","niveau_instruction","indice_richesse","region","religion","sexe_enfant","survie_enfant_precedent","age_premiere_naissance","instruction_mari"
29,1,0.643138,"Rural","Secondaire","Pauvre","Sud","Catholique","Masculin","Vivant","16-20 ans",NA
33,1,0.643138,"Rural","Secondaire","Pauvre","Sud","Catholique","Masculin","Vivant","16-20 ans",NA
24,1,0.643138,"Rural","Secondaire","Pauvre","Sud","Catholique","Masculin","Vivant","16-20 ans",NA
38,1,0.643138,"Rural","Secondaire","Pauvre","Sud","Catholique","Masculin","Vivant","16-20 ans",NA
23,0,0.643138,"Rural","Secondaire","Pauvre","Sud","Catholique","Masculin","Vivant","16-20 ans",NA
44,1,0.643138,"Rural","Secondaire","Pauvre","Sud","Catholique","Masculin","Vivant","16-20 ans","Primaire"
47,1,0.643138,"Rural","Secondaire","Pauvre","Sud","Catholique","Masculin","Vivant","16-20 ans","Primaire"
66,1,0.643138,"Rural","Secondaire","Pauvre","Sud","Catholique","Masculin","Vivant","16-20 ans","Primaire"
34,0,0.643138,"Rural","Secondaire","Pauvre","Sud","Catholique","Féminin","Vivant","16-20 ans","Primaire"
38,1,0.643138,"Rural","Secondaire","Moyen","Sud","Catholique","Masculin","Vivant","21-25 ans","Aucun"
17,1,0.643138,"Rural","Secondaire","Moyen","Sud","Catholique","Masculin","Décédé","21-25 ans","Aucun"
62,0,0.643138,"Rural","Secondaire","Moyen","Sud","Catholique","Masculin","Vivant","21-25 ans","Aucun"
18,1,0.643138,"Rural","Primaire","Pauvre","Sud","Protestant","Féminin","Vivant","21-25 ans","Secondaire"
31,1,0.643138,"Rural","Primaire","Pauvre","Sud","Protestant","Féminin","Vivant","21-25 ans","Secondaire"
36,1,0.643138,"Rural","Primaire","Pauvre","Sud","Protestant","Masculin","Vivant","21-25 ans","Secondaire"
38,1,0.643138,"Rural","Primaire","Pauvre","Sud","Protestant","Masculin","Vivant","21-25 ans","Secondaire"
28,0,0.643138,"Rural","Primaire","Pauvre","Sud","Protestant","Masculin","Vivant","21-25 ans","Secondaire"
15,1,0.643138,"Rural","Aucun","Moyen","Sud","Catholique","Masculin","Décédé","16-20 ans","Primaire"
138,1,0.643138,"Rural","Aucun","Moyen","Sud","Catholique","Féminin","Décédé","16-20 ans","Primaire"
28,0,0.643138,"Rural","Aucun","Moyen","Sud","Catholique","Féminin","Vivant","16-20 ans","Primaire"
54,0,0.643138,"Rural","Primaire","Moyen","Sud","Catholique","Féminin","Vivant",">=26 ans","Secondaire"
41,1,0.643138,"Rural","Primaire","Moyen","Sud","Catholique","Féminin","Vivant","16-20 ans",NA
27,1,0.643138,"Rural","Primaire","Moyen","Sud","Catholique","Masculin","Vivant","16-20 ans",NA
39,1,0.643138,"Rural","Primaire","Moyen","Sud","Catholique","Féminin","Vivant","16-20 ans",NA
36,1,0.643138,"Rural","Primaire","Moyen","Sud","Catholique","Féminin","Vivant","16-20 ans",NA
37,1,0.643138,"Rural","Primaire","Moyen","Sud","Catholique","Féminin","Vivant","16-20 ans",NA
37,0,0.643138,"Rural","Primaire","Moyen","Sud","Catholique","Masculin","Décédé","16-20 ans",NA
29,1,0.643138,"Rural","Secondaire","Moyen","Sud","Catholique","Féminin","Vivant","16-20 ans","Secondaire"
49,1,0.643138,"Rural","Secondaire","Moyen","Sud","Catholique","Féminin","Vivant","16-20 ans","Secondaire"
26,1,0.643138,"Rural","Secondaire","Moyen","Sud","Catholique","Féminin","Vivant","16-20 ans","Secondaire"
54,1,0.643138,"Rural","Secondaire","Moyen","Sud","Catholique","Féminin","Vivant","16-20 ans","Secondaire"
54,1,0.643138,"Rural","Secondaire","Moyen","Sud","Catholique","Masculin","Vivant","16-20 ans","Secondaire"
25,0,0.643138,"Rural","Secondaire","Moyen","Sud","Catholique","Féminin","Vivant","16-20 ans","Secondaire"
54,1,0.643138,"Rural","Secondaire","Très riche","Sud","Catholique","Masculin","Vivant","16-20 ans","Secondaire"
16,1,0.643138,"Rural","Secondaire","Très riche","Sud","Catholique","Masculin","Vivant","16-20 ans","Secondaire"
48,0,0.643138,"Rural","Secondaire","Très riche","Sud","Catholique","Féminin","Vivant","16-20 ans","Secondaire"
92,1,0.643138,"Rural","Secondaire","Pauvre","Sud","Catholique","Masculin","Vivant","16-20 ans","Primaire"
42,1,0.643138,"Rural","Secondaire","Pauvre","Sud","Catholique","Masculin","Vivant","16-20 ans","Primaire"
53,1,0.643138,"Rural","Secondaire","Pauvre","Sud","Catholique","Féminin","Vivant","16-20 ans","Primaire"
18,1,0.643138,"Rural","Secondaire","Pauvre","Sud","Catholique","Masculin","Vivant","16-20 ans","Primaire"
25,0,0.643138,"Rural","Secondaire","Pauvre","Sud","Catholique","Féminin","Vivant","16-20 ans","Primaire"
35,1,0.643138,"Rural","Primaire","Moyen","Sud","Catholique","Féminin","Vivant","21-25 ans","Secondaire"
32,0,0.643138,"Rural","Primaire","Moyen","Sud","Catholique","Masculin","Vivant","21-25 ans","Secondaire"
29,1,0.643138,"Rural","Primaire","Moyen","Sud","Catholique","Masculin","Décédé","16-20 ans",NA
114,0,0.643138,"Rural","Primaire","Moyen","Sud","Catholique","Masculin","Vivant","16-20 ans",NA
38,0,0.643138,"Rural","Secondaire","Moyen","Sud","Catholique","Féminin","Vivant","16-20 ans","Secondaire"
29,1,0.643138,"Rural","Primaire","Moyen","Sud","Catholique","Féminin","Décédé","16-20 ans","Secondaire"
24,1,0.643138,"Rural","Primaire","Moyen","Sud","Catholique","Féminin","Vivant","16-20 ans","Secondaire"
22,1,0.643138,"Rural","Primaire","Moyen","Sud","Catholique","Féminin","Vivant","16-20 ans","Secondaire"
46,1,0.643138,"Rural","Primaire","Moyen","Sud","Catholique","Féminin","Vivant","16-20 ans","Secondaire"
17,1,0.643138,"Rural","Primaire","Moyen","Sud","Catholique","Féminin","Décédé","16-20 ans","Secondaire"
14,1,0.643138,"Rural","Primaire","Moyen","Sud","Catholique","Féminin","Vivant","16-20 ans","Secondaire"
181,0,0.643138,"Rural","Primaire","Moyen","Sud","Catholique","Féminin","Vivant","16-20 ans","Secondaire"
32,1,0.870101,"Rural","Primaire","Riche","Centre","Protestant","Masculin","Vivant","21-25 ans","Secondaire"
86,0,0.870101,"Rural","Primaire","Riche","Centre","Protestant","Masculin","Vivant","21-25 ans","Secondaire"
92,0,0.870101,"Rural","Secondaire","Riche","Centre","Catholique","Masculin","Vivant","16-20 ans","Secondaire"
42,1,0.870101,"Rural","Secondaire","Riche","Centre","Catholique","Féminin","Vivant","<=15 ans","Primaire"
53,1,0.870101,"Rural","Secondaire","Riche","Centre","Catholique","Masculin","Décédé","<=15 ans","Primaire"
39,0,0.870101,"Rural","Secondaire","Riche","Centre","Catholique","Masculin","Vivant","<=15 ans","Primaire"
65,0,0.870101,"Rural","Secondaire","Riche","Centre","Catholique","Masculin","Vivant","16-20 ans","Secondaire"
56,1,0.870101,"Rural","Primaire","Moyen","Centre","Animiste","Masculin","Vivant","16-20 ans","Primaire"
31,0,0.870101,"Rural","Primaire","Moyen","Centre","Animiste","Féminin","Vivant","16-20 ans","Primaire"
25,1,0.870101,"Rural","Secondaire","Très riche","Centre","Catholique","Masculin","Vivant","21-25 ans","Primaire"
23,1,0.870101,"Rural","Secondaire","Très riche","Centre","Catholique","Féminin","Vivant","21-25 ans","Primaire"
37,1,0.870101,"Rural","Secondaire","Très riche","Centre","Catholique","Masculin","Vivant","21-25 ans","Primaire"
31,1,0.870101,"Rural","Secondaire","Très riche","Centre","Catholique","Féminin","Vivant","21-25 ans","Primaire"
26,0,0.870101,"Rural","Secondaire","Très riche","Centre","Catholique","Féminin","Vivant","21-25 ans","Primaire"
51,1,0.870101,"Rural","Secondaire","Très riche","Centre","Protestant","Masculin","Vivant","16-20 ans",NA
33,0,0.870101,"Rural","Secondaire","Très riche","Centre","Protestant","Masculin","Vivant","16-20 ans",NA
76,1,0.870101,"Rural","Secondaire","Riche","Centre","Catholique","Féminin","Vivant","21-25 ans","Secondaire"
53,1,0.870101,"Rural","Secondaire","Riche","Centre","Catholique","Féminin","Vivant","21-25 ans","Secondaire"
67,0,0.870101,"Rural","Secondaire","Riche","Centre","Catholique","Féminin","Vivant","21-25 ans","Secondaire"
72,0,0.870101,"Rural","Secondaire","Riche","Centre","Catholique","Masculin","Vivant","21-25 ans","Secondaire"
47,1,0.870101,"Rural","Secondaire","Moyen","Centre","Protestant","Féminin","Vivant",">=26 ans","Secondaire"
26,0,0.870101,"Rural","Secondaire","Moyen","Centre","Protestant","Masculin","Vivant",">=26 ans","Secondaire"
24,0,0.870101,"Rural","Primaire","Riche","Centre","Protestant","Masculin","Vivant","16-20 ans","Secondaire"
14,1,0.870101,"Rural","Primaire","Moyen","Centre","Islam","Féminin","Vivant","<=15 ans",NA
